id,object_name,initialization_time_ms,processing_time_ms,running_time_ms,rendering_time_ms,mesh_extraction_time_ms,mesh_export_time_ms,total_time_ms,chunk_size,mc_resolution,timestamp
1,000000_vespa_scooter_bicycle,7074.97,453,1134.91,10036.13,14.25,0.5,18713.760000000002,8192,16,2024-09-14 13:48:38.002062
2,000000_vespa_scooter_bicycle,5138.42,417.01,996.17,10076.85,127.49,1.84,16757.780000000002,8192,128,2024-09-14 13:48:57.355404
3,000000_vespa_scooter_bicycle,4504.83,409.2,1016.41,10002.64,953.85,6.24,16893.17,8192,256,2024-09-14 13:49:16.394089
4,000000_vespa_scooter_bicycle,14055.86,393.21,1014.11,8928.22,4.26,0.52,24396.18,12288,16,2024-09-14 13:49:42.997301
5,000000_vespa_scooter_bicycle,3668.97,392.48,949.64,8902.34,115.59,1.72,14030.74,12288,128,2024-09-14 13:49:59.190507
6,000000_vespa_scooter_bicycle,5030.44,392.81,968.8,8954.52,864.27,6.57,16217.41,12288,256,2024-09-14 13:50:17.492272
7,000000_vespa_scooter_bicycle,5668.59,386.81,985.85,8681.37,11.64,0.59,15734.850000000002,14336,16,2024-09-14 13:50:35.311455
8,000000_vespa_scooter_bicycle,4921.52,395.55,962.41,8677.73,108.71,2.56,15068.479999999998,14336,128,2024-09-14 13:50:52.51728
9,000000_vespa_scooter_bicycle,3878.51,389.07,979.8,8674.78,837.38,6.36,14765.9,14336,256,2024-09-14 13:51:09.374176
10,000001_bicycle_sport_bike,3801.84,381.76,978.87,10100.47,4.48,0.5,15267.919999999998,8192,16,2024-09-14 13:51:26.750647
11,000001_bicycle_sport_bike,4117.06,378.42,966.57,10087.93,127.76,1.67,15679.41,8192,128,2024-09-14 13:51:44.637624
12,000001_bicycle_sport_bike,4046.89,374.15,957.76,10016.42,944.33,4.87,16344.420000000002,8192,256,2024-09-14 13:52:03.153149
13,000001_bicycle_sport_bike,3752.72,379.42,963.91,8939.37,4.11,0.45,14039.980000000001,12288,16,2024-09-14 13:52:19.326249
14,000001_bicycle_sport_bike,5808.65,372.35,961.69,8962.65,108.37,1.59,16215.300000000001,12288,128,2024-09-14 13:52:37.646928
15,000001_bicycle_sport_bike,3914.91,368.32,960.38,8875.28,835.67,4.8,14959.359999999999,12288,256,2024-09-14 13:52:54.765757
16,000001_bicycle_sport_bike,5882.25,375.93,953.29,8624.66,4.51,0.48,15841.12,14336,16,2024-09-14 13:53:12.710362
17,000001_bicycle_sport_bike,3979.37,381.15,965.03,8657.23,108.04,1.53,14092.35,14336,128,2024-09-14 13:53:28.991184
18,000001_bicycle_sport_bike,4016.85,388.53,952.39,8648.91,821.47,4.79,14832.94,14336,256,2024-09-14 13:53:45.963158
19,000002_motorcycle_vehicle_collector's item,3898.29,392.76,962.76,10060.27,4.97,0.49,15319.54,8192,16,2024-09-14 13:54:03.403312
20,000002_motorcycle_vehicle_collector's item,3846.98,382.53,959.91,10080.83,123.62,1.81,15395.68,8192,128,2024-09-14 13:54:20.947514
21,000002_motorcycle_vehicle_collector's item,8992.34,383.99,965.76,10039.85,952.17,6.33,21340.440000000002,8192,256,2024-09-14 13:54:44.491545
22,000002_motorcycle_vehicle_collector's item,3899.01,383.92,963.78,8927.68,4.11,0.51,14179.01,12288,16,2024-09-14 13:55:00.72979
23,000002_motorcycle_vehicle_collector's item,4476.22,393.87,973.93,8979.69,112.81,2.12,14938.640000000001,12288,128,2024-09-14 13:55:17.85922
24,000002_motorcycle_vehicle_collector's item,8719.11,381.05,958.1,8930.27,869.65,6.16,19864.34,12288,256,2024-09-14 13:55:39.892673
25,000002_motorcycle_vehicle_collector's item,5227.06,381.25,967.32,8950.93,4.17,0.49,15531.220000000001,14336,16,2024-09-14 13:55:57.521475
26,000002_motorcycle_vehicle_collector's item,5310.25,435.39,1239.16,9336.24,118.72,2.05,16441.81,14336,128,2024-09-14 13:56:16.187061
27,000002_motorcycle_vehicle_collector's item,5098.11,438.92,971.17,8642.39,825.45,6.1,15982.140000000001,14336,256,2024-09-14 13:56:34.685921
28,000001_car_vehicle_auto,10526.56,397.98,956.37,9982.27,4.22,0.45,21867.850000000002,8192,16,2024-09-14 13:56:58.625757
29,000001_car_vehicle_auto,7810.69,418.62,954.97,9941.82,135.41,1.46,19262.969999999998,8192,128,2024-09-14 13:57:19.928501
30,000001_car_vehicle_auto,9057.84,379.81,946.9,9983.41,938.66,4.85,21311.469999999998,8192,256,2024-09-14 13:57:43.42358
31,000001_car_vehicle_auto,3937.35,388.08,950.01,8828.27,4.17,0.49,14108.37,12288,16,2024-09-14 13:57:59.528609
32,000001_car_vehicle_auto,6178.23,394.26,955.95,8851.97,108.96,1.44,16490.809999999998,12288,128,2024-09-14 13:58:18.02765
33,000001_car_vehicle_auto,5016.23,402.75,967.63,8874.23,835.83,4.82,16101.49,12288,256,2024-09-14 13:58:36.237745
34,000001_car_vehicle_auto,9797.52,380.13,936.89,8584.72,4.47,0.47,19704.2,14336,16,2024-09-14 13:58:57.958296
35,000001_car_vehicle_auto,4414.85,382.44,937.18,8541.61,104.96,1.49,14382.53,14336,128,2024-09-14 13:59:14.391305
36,000001_car_vehicle_auto,4397.82,378.33,954.46,8610.59,816.07,4.72,15161.99,14336,256,2024-09-14 13:59:31.557249
37,000003_us car_old_vintage,3852.91,414.79,981.57,10013,4.2,0.47,15266.94,8192,16,2024-09-14 13:59:48.838036
38,000003_us car_old_vintage,3655.24,379.96,960.28,9990.44,124.5,1.82,15112.24,8192,128,2024-09-14 14:00:06.052092
39,000003_us car_old_vintage,3845.28,385.7,959.08,10000.54,958.45,6.32,16155.370000000003,8192,256,2024-09-14 14:00:24.226734
40,000003_us car_old_vintage,3708.71,381.31,948.23,8845.09,4.43,0.53,13888.300000000001,12288,16,2024-09-14 14:00:40.126774
41,000003_us car_old_vintage,6682.58,377.69,943.35,8868.24,124.02,1.9,16997.780000000002,12288,128,2024-09-14 14:00:59.117076
42,000003_us car_old_vintage,7651.27,379.22,947.8,8861.88,853.37,6.64,18700.179999999997,12288,256,2024-09-14 14:01:19.820076
43,000003_us car_old_vintage,5128.01,376.68,952.15,8614.65,4.13,0.5,15076.119999999999,14336,16,2024-09-14 14:01:36.977387
44,000003_us car_old_vintage,5496.04,383,942.29,8534.02,109.62,1.86,15466.830000000002,14336,128,2024-09-14 14:01:54.5753
45,000003_us car_old_vintage,4739.67,385.08,952.79,8612.26,836.52,6.08,15532.4,14336,256,2024-09-14 14:02:12.157842
46,000007_car_mercedes_car wallpapers,3591.3,390.18,955.75,9975.84,4.09,0.46,14917.619999999999,8192,16,2024-09-14 14:02:29.117328
47,000007_car_mercedes_car wallpapers,3577.67,375.57,946,10018.83,123.01,1.56,15042.64,8192,128,2024-09-14 14:02:46.179605
48,000007_car_mercedes_car wallpapers,3730.61,381.18,946.92,9944.35,937.55,5.19,15945.800000000001,8192,256,2024-09-14 14:03:04.111165
49,000007_car_mercedes_car wallpapers,3632.1,392.04,948.98,8786.87,4.16,0.52,13764.670000000002,12288,16,2024-09-14 14:03:19.893602
50,000007_car_mercedes_car wallpapers,5681.24,382.48,948.38,8822.4,110.85,1.7,15947.050000000001,12288,128,2024-09-14 14:03:37.953973
51,000007_car_mercedes_car wallpapers,4234.22,375.73,956.33,8788.25,838.83,5.07,15198.43,12288,256,2024-09-14 14:03:55.263474
52,000007_car_mercedes_car wallpapers,8787.13,382.23,935.64,8536.78,4.1,0.48,18646.359999999997,14336,16,2024-09-14 14:04:15.947115
53,000007_car_mercedes_car wallpapers,4469.98,382.63,952.71,8557.02,106.47,1.58,14470.39,14336,128,2024-09-14 14:04:32.494468
54,000007_car_mercedes_car wallpapers,3773.55,374.17,942.14,8531.05,822.82,5.12,14448.85,14336,256,2024-09-14 14:04:48.976429
55,000002_plane_cessna caravan_flying,3673.64,378.96,952.05,9924.07,4.15,0.44,14933.31,8192,16,2024-09-14 14:05:05.933176
56,000002_plane_cessna caravan_flying,3604.13,374.21,953.32,9944.88,116.86,1.11,14994.51,8192,128,2024-09-14 14:05:23.018882
57,000002_plane_cessna caravan_flying,3886.3,368.48,945.61,9909.04,914.95,3.12,16027.500000000002,8192,256,2024-09-14 14:05:41.057237
58,000002_plane_cessna caravan_flying,5076.94,375.58,957.52,8824.75,4.11,0.46,15239.359999999999,12288,16,2024-09-14 14:05:58.287899
59,000002_plane_cessna caravan_flying,4804.33,368.18,952.77,8827.01,101.83,1.17,15055.29,12288,128,2024-09-14 14:06:15.385693
60,000002_plane_cessna caravan_flying,4304.95,372.34,941.61,8747.52,805.22,3.15,15174.789999999999,12288,256,2024-09-14 14:06:32.58231
61,000002_plane_cessna caravan_flying,3897.22,371.18,944.83,8565.38,4.15,0.46,13783.219999999998,14336,16,2024-09-14 14:06:48.351415
62,000002_plane_cessna caravan_flying,3869.51,376.74,945.2,8567.21,101.87,1.07,13861.6,14336,128,2024-09-14 14:07:04.216361
63,000002_plane_cessna caravan_flying,4045.65,377.62,949.72,8525.29,787.85,3.16,14689.290000000003,14336,256,2024-09-14 14:07:20.899459
64,000004_aircraft_jet_airplane,4562.66,383.71,960.57,9950.28,4.32,0.47,15862.01,8192,16,2024-09-14 14:07:38.810075
65,000004_aircraft_jet_airplane,5432.37,376.76,942.96,9918.35,116.39,1.03,16787.86,8192,128,2024-09-14 14:07:57.639842
66,000004_aircraft_jet_airplane,5330.46,369.29,943.17,9981.79,912.89,2.81,17540.41,8192,256,2024-09-14 14:08:17.202053
67,000004_aircraft_jet_airplane,5919.37,372.51,965.02,8776.4,4.29,0.46,16038.05,12288,16,2024-09-14 14:08:35.230574
