id,object_name,initialization_time_ms,processing_time_ms,running_time_ms,rendering_time_ms,mesh_extraction_time_ms,mesh_export_time_ms,total_time_ms,chunk_size,mc_resolution,timestamp
68,000004_aircraft_jet_airplane,4149.54,377.1,939.33,8731.61,104.39,1.07,14303.04,12288,128,2024-09-14 14:08:51.53465
69,000004_aircraft_jet_airplane,3558.86,372.38,953.03,8825.97,814.34,2.69,14527.27,12288,256,2024-09-14 14:09:08.101796
70,000004_aircraft_jet_airplane,4130.08,370.24,952.62,8556.51,4.01,0.45,14013.910000000002,14336,16,2024-09-14 14:09:24.142471
71,000004_aircraft_jet_airplane,3545.44,378.67,932.05,8555.85,99.8,1.01,13512.82,14336,128,2024-09-14 14:09:39.706329
72,000004_aircraft_jet_airplane,5609.47,387.38,962.6,8633.64,805.74,2.94,16401.77,14336,256,2024-09-14 14:09:58.213258
73,000007_aircraft_jet_airplane,8565.46,407.04,964.96,9906.36,11.24,0.45,19855.510000000002,8192,16,2024-09-14 14:10:20.127759
74,000007_aircraft_jet_airplane,7581.95,371.03,938.73,9915.42,118.98,1.18,18927.289999999997,8192,128,2024-09-14 14:10:41.115025
75,000007_aircraft_jet_airplane,4532.87,372.97,947.4,9919.58,912.7,3.4,16688.920000000002,8192,256,2024-09-14 14:11:00.072581
76,000007_aircraft_jet_airplane,4649.64,378.22,937.56,8793.71,49.75,0.46,14809.339999999998,12288,16,2024-09-14 14:11:16.897547
77,000007_aircraft_jet_airplane,4484.68,379.55,968.92,8801.71,105.09,1.25,14741.2,12288,128,2024-09-14 14:11:33.70607
78,000007_aircraft_jet_airplane,3808.67,374.01,949.76,8789.32,818.6,3.47,14743.83,12288,256,2024-09-14 14:11:50.508898
79,000007_aircraft_jet_airplane,3804.65,372.63,949.81,8522.73,4.41,0.48,13654.71,14336,16,2024-09-14 14:12:06.181326
80,000007_aircraft_jet_airplane,4122.63,373.45,941.13,8507.93,102.23,1.24,14048.609999999999,14336,128,2024-09-14 14:12:22.21167
81,000007_aircraft_jet_airplane,3734.38,376.54,944.97,8505.16,792.97,3.44,14357.46,14336,256,2024-09-14 14:12:38.61334
